gid,color
Xushu18S1-002,1
Xushu18S1-003,1
Xushu18S1-004,1
Xushu18S1-005,NA
Xushu18S1-006,1
Xushu18S1-007,1
Xushu18S1-008,1
Xushu18S1-009,1
Xushu18S1-011,1
Xushu18S1-012,1
Xushu18S1-013,1
Xushu18S1-014,1
Xushu18S1-015,1
Xushu18S1-016,1
Xushu18S1-019,1
Xushu18S1-020,1
Xushu18S1-021,1
Xushu18S1-022,1
Xushu18S1-023,1
Xushu18S1-024,1
Xushu18S1-025,1
Xushu18S1-026,1
Xushu18S1-027,1
Xushu18S1-028,1
Xushu18S1-029,0
Xushu18S1-031,1
Xushu18S1-032,1
Xushu18S1-033,1
Xushu18S1-035,1
Xushu18S1-036,1
Xushu18S1-037,1
Xushu18S1-038,1
Xushu18S1-039,1
Xushu18S1-041,1
Xushu18S1-042,1
Xushu18S1-044,1
Xushu18S1-045,1
Xushu18S1-046,0
Xushu18S1-047,1
Xushu18S1-048,NA
Xushu18S1-049,1
Xushu18S1-051,1
Xushu18S1-052,1
Xushu18S1-053,1
Xushu18S1-055,1
Xushu18S1-056,1
Xushu18S1-057,1
Xushu18S1-058,1
Xushu18S1-059,1
Xushu18S1-060,1
Xushu18S1-061,1
Xushu18S1-062,1
Xushu18S1-063,1
Xushu18S1-064,1
Xushu18S1-065,1
Xushu18S1-066,1
Xushu18S1-067,1
Xushu18S1-069,1
Xushu18S1-070,1
Xushu18S1-071,1
Xushu18S1-074,1
Xushu18S1-075,1
Xushu18S1-076,1
Xushu18S1-077,1
Xushu18S1-078,1
Xushu18S1-079,1
Xushu18S1-080,1
Xushu18S1-081,1
Xushu18S1-083,1
Xushu18S1-084,1
Xushu18S1-085,1
Xushu18S1-086,NA
Xushu18S1-087,1
Xushu18S1-088,1
Xushu18S1-089,1
Xushu18S1-091,0
Xushu18S1-093,1
Xushu18S1-094,1
Xushu18S1-095,1
Xushu18S1-096,1
Xushu18S1-097,1
Xushu18S1-098,1
Xushu18S1-099,1
Xushu18S1-100,1
Xushu18S1-101,1
Xushu18S1-102,1
Xushu18S1-103,1
Xushu18S1-104,1
Xushu18S1-105,1
Xushu18S1-106,1
Xushu18S1-107,1
Xushu18S1-109,1
Xushu18S1-111,1
Xushu18S1-112,1
Xushu18S1-113,1
Xushu18S1-114,0
Xushu18S1-117,1
Xushu18S1-118,1
Xushu18S1-119,0
Xushu18S1-120,1
Xushu18S1-121,1
Xushu18S1-122,1
Xushu18S1-123,1
Xushu18S1-124,1
Xushu18S1-125,0
Xushu18S1-126,1
Xushu18S1-127,1
Xushu18S1-128,1
Xushu18S1-129,1
Xushu18S1-130,1
Xushu18S1-131,1
Xushu18S1-132,1
Xushu18S1-133,1
Xushu18S1-134,1
Xushu18S1-135,1
Xushu18S1-137,1
Xushu18S1-138,1
Xushu18S1-139,1
Xushu18S1-140,1
Xushu18S1-142,1
Xushu18S1-143,1
Xushu18S1-145,0
Xushu18S1-146,1
Xushu18S1-147,1
Xushu18S1-148,1
Xushu18S1-149,1
Xushu18S1-150,1
Xushu18S1-153,1
Xushu18S1-156,1
Xushu18S1-157,1
Xushu18S1-158,NA
Xushu18S1-159,1
Xushu18S1-161,1
Xushu18S1-162,0
Xushu18S1-163,1
Xushu18S1-164,1
Xushu18S1-166,1
Xushu18S1-167,1
Xushu18S1-168,1
Xushu18S1-169,1
Xushu18S1-170,1
Xushu18S1-171,1
Xushu18S1-172,1
Xushu18S1-173,1
Xushu18S1-174,1
Xushu18S1-175,1
Xushu18S1-176,NA
Xushu18S1-177,1
Xushu18S1-178,1
Xushu18S1-179,1
Xushu18S1-180,1
Xushu18S1-181,0
Xushu18S1-182,1
Xushu18S1-183,1
Xushu18S1-184,1
Xushu18S1-185,1
Xushu18S1-186,NA
Xushu18S1-187,1
Xushu18S1-188,1
Xushu18S1-189,1
Xushu18S1-190,1
Xushu18S1-191,1
Xushu18S1-192,1
Xushu18S1-193,1
Xushu18S1-194,NA
Xushu18S1-195,1
Xushu18S1-196,1
Xushu18S1-197,1
Xushu18S1-198,1
Xushu18S1-199,NA
Xushu18S1-200,1
Xushu18S1-201,1
Xushu18S1-202,1
Xushu18S1-203,NA
Xushu18S1-204,NA
Xushu18S1-205,1
Xushu18S1-206,1
Xushu18S1-207,NA
Xushu18S1-208,1
Xushu18S1-209,1
Xushu18S1-210,1
Xushu18S1-211,0
Xushu18S1-212,1
Xushu18S1-213,NA
Xushu18S1-214,NA
Xushu18S1-215,NA
Xushu18S1-216,NA
Xushu18S1-217,1
Xushu18S1-218,NA
Xushu18S1-219,1
Xushu18S1-220,1
Xushu18S1-221,1
Xushu18S1-222,NA
Xushu18S1-223,1
Xushu18S1-224,NA
Xushu18S1-225,1
Xushu18S1-226,1
Xushu18S1-227,NA
Xushu18S1-228,NA
Xushu18S1-229,1
Xushu18S1-230,NA
Xushu18S1-231,1
Xushu18S1-232,1
Xushu18S1-233,1
Xushu18S1-234,NA
Xushu18S1-235,1
Xushu18S1-236,1
Xushu18S1-237,1
Xushu18S1-238,1
Xushu18S1-239,NA
Xushu18S1-240,1
Xushu18S1-241,NA
Xushu18S1-242,1
Xushu18S1-243,NA
Xushu18S1-244,NA
Xushu18S1-245,1
Xushu18S1-246,1
Xushu18S1-247,NA
Xushu18S1-248,1
Xushu18S1-249,1
Xushu18S1-250,1
Xushu18S1-251,1
Xushu18S1-252,1
Xushu18S1-253,1
Xushu18S1-254,1
Xushu18S1-255,NA
Xushu18S1-256,0
Xushu18S1-257,1
Xushu18S1-258,1
Xushu18S1-259,0
Xushu18S1-260,1
Xushu18S1-261,1
Xushu18S1-262,1
Xushu18S1-263,1
Xushu18S1-264,1
Xushu18S1-265,1
Xushu18S1-266,1
Xushu18S1-267,0
Xushu18S1-268,1
Xushu18S1-269,1
Xushu18S1-270,1
Xushu18S1-271,NA
Xushu18S1-272,1
Xushu18S1-273,NA
Xushu18S1-274,NA
Xushu18S1-275,NA
Xushu18S1-276,1
Xushu18S1-277,NA
